id,title,label,filtered_words_str
F017,Immortal Jellyfish Confirmed by Sources,FAKE,"action,tend,prove,research,probably,break,cut.,close,board,citizen,visit,management,deal.,—,shocking,claims,immortal,jellyfish,surface,internet."
R008,New Report on Economic Growth,REAL,"audience,radio,who.,military,front,example,yard.,sell,whole,meeting,win,series,if.,experts,discuss,ongoing,developments,economic,growth."
F071,Celebrity Scandal Confirmed by Sources,FAKE,"network,leader,eat,add,care,seek.,imagine,keep,popular,plan,fight.,—,shocking,claims,celebrity,scandal,surface,internet."
F028,Mind Control Confirmed by Sources,FAKE,"environmental,customer,threat,worker,life,name,hit.,dream,occur,base.,receive,soon,few.,—,shocking,claims,mind,control,surface,internet."
F227,Immortal Jellyfish Confirmed by Sources,FAKE,"song,series,north.,painting,fall,effort,consumer,many,shoulder.,—,shocking,claims,immortal,jellyfish,surface,internet."
R200,New Report on Public Health,REAL,"low,stop,head,might.,office,style,similar,spend,authority,other.,experts,discuss,ongoing,developments,public,health."
R225,New Report on Climate Change,REAL,"fish,worker,development,exactly,walk.,participant,benefit,sound,short.,experts,discuss,ongoing,developments,climate,change."
R062,New Report on Budget Report,REAL,"everything,article,subject,write.,heavy,alone,television,always,draw,accept,director.,like,son,finish,skin,red,room.,experts,discuss,ongoing,developments,budget,report."
F033,Hoax Confirmed by Sources,FAKE,"issue,fish,card,stock,education.,—,shocking,claims,hoax,surface,internet."
F012,Hoax Confirmed by Sources,FAKE,"information,accept,manager,white.,matter,know,west,face,develop.,accept,must,finally,pull,friend.,foot,view,radio,agreement,anyone,standard,study.,—,shocking,claims,hoax,surface,internet."
R121,New Report on Research,REAL,"include,word,notice.,station,side,past,computer,allow,begin,specific,difference.,experts,discuss,ongoing,developments,research."
F210,Aliens Confirmed by Sources,FAKE,"involve,health,continue.,whether,already,either.,—,shocking,claims,aliens,surface,internet."
F151,Hoax Confirmed by Sources,FAKE,"since,move,official,marriage,policy,enough,available.,behind,buy,prove,alone.,final,red,institution,majority,real.,something,sound,effort.,—,shocking,claims,hoax,surface,internet."
F099,Secret Cure Confirmed by Sources,FAKE,"loss,argue,activity,modern,part.,skill,drive,story,success.,federal,behind,industry,administration,get,seven,office.,—,shocking,claims,secret,cure,surface,internet."
R090,New Report on Technology Breakthrough,REAL,"strategy,eat,option,fund.,page,art,above.,experts,discuss,ongoing,developments,technology,breakthrough."
R125,New Report on Budget Report,REAL,"truth,suffer,character,space,statement,change.,congress,trouble,nothing,sell,camera,religious.,job,prove,source,culture,many,ground.,experts,discuss,ongoing,developments,budget,report."
R091,New Report on Climate Change,REAL,"west,region,watch.,less,others,scientist,since,base.,experts,discuss,ongoing,developments,climate,change."
R157,New Report on Climate Change,REAL,"simple,lawyer,staff,southern,friend,specific,central,she.,experts,discuss,ongoing,developments,climate,change."
F098,Miracle Drug Confirmed by Sources,FAKE,"return,career,kid,southern.,base,stage,behind,reality,pressure,low,important.,simply,system,study,kid.,—,shocking,claims,miracle,drug,surface,internet."
F164,Immortal Jellyfish Confirmed by Sources,FAKE,"across,much,suddenly,nothing,six,he.,join,pick,seat,talk,help.,environmental,property,save,along.,—,shocking,claims,immortal,jellyfish,surface,internet."
R050,New Report on Economic Growth,REAL,"company,high,half,technology,center,behind,organization,house.,travel,teach,candidate,industry,happy,oil.,forget,control,win,free,finally,ball.,experts,discuss,ongoing,developments,economic,growth."
R249,New Report on Climate Change,REAL,"fear,ask.,soldier,expect,technology,indeed,choice.,scientist,discuss,consider,answer,at.,experts,discuss,ongoing,developments,climate,change."
R093,New Report on Election,REAL,"price,federal,instead,take.,treat,simple,surface,model.,contain,modern,behavior,both.,experts,discuss,ongoing,developments,election."
R131,New Report on Education,REAL,"eight,cell,better,care.,change,throughout,wife,already,per,country,nice,need.,experts,discuss,ongoing,developments,education."
F107,Flat Earth Confirmed by Sources,FAKE,"across,least,hotel.,employee,western,half,according,mother,house,themselves.,resource,interview,feeling,necessary,there.,—,shocking,claims,flat,earth,surface,internet."
F153,Hoax Confirmed by Sources,FAKE,"successful,bring,return,receive.,visit,movie,minute,whom.,coach,stage,hospital,production,scene,leader,plan.,—,shocking,claims,hoax,surface,internet."
F091,Flat Earth Confirmed by Sources,FAKE,"responsibility,board,administration,surface,attention.,modern,peace,whether,especially,memory,yet,start.,discussion,fish,rate,face,scene,far.,simple,inside,rate,clear,drug,member.,—,shocking,claims,flat,earth,surface,internet."
R246,New Report on Economic Growth,REAL,"step,political,card.,attorney,already,free,threat.,apply,movement,rest,body,large,message,career.,experts,discuss,ongoing,developments,economic,growth."
F004,Secret Cure Confirmed by Sources,FAKE,"consider,technology,for.,—,shocking,claims,secret,cure,surface,internet."
F220,Celebrity Scandal Confirmed by Sources,FAKE,"mouth,thus,point,cut.,north,task,leg,gun.,investment,year,model,table,little,catch,save,wind.,—,shocking,claims,celebrity,scandal,surface,internet."
F121,Hoax Confirmed by Sources,FAKE,"boy,maybe,catch,congress,environmental,none,professor,produce.,become,according,rich,new,prevent,worker.,when.,—,shocking,claims,hoax,surface,internet."
F245,Mind Control Confirmed by Sources,FAKE,"allow,old,picture,close,protect,example,here.,six,subject,challenge,point.,study,like,perform,ahead.,—,shocking,claims,mind,control,surface,internet."
R035,New Report on Climate Change,REAL,"mean,always,stand.,half,score,able,upon.,figure,democratic,sort,discuss,challenge.,experts,discuss,ongoing,developments,climate,change."
R024,New Report on Education,REAL,"current,discussion,national.,question,place,popular,group,bag,answer.,experts,discuss,ongoing,developments,education."
F079,Miracle Drug Confirmed by Sources,FAKE,"author,woman,force,many,card.,teacher,effort,coach,break,discover,popular.,—,shocking,claims,miracle,drug,surface,internet."
R094,New Report on Policy,REAL,"natural,material,discuss,hotel,painting,mouth,foreign,bar.,child,cultural,book.,movie,fund,total,window.,experts,discuss,ongoing,developments,policy."
R040,New Report on Policy,REAL,"news,identify.,break,set,clearly,enough,condition,floor.,everyone,none,teacher,enjoy,test,century.,experts,discuss,ongoing,developments,policy."
F170,Immortal Jellyfish Confirmed by Sources,FAKE,"production,effort,sell,official,drug.,board,science,focus,organization,opportunity,save.,son,authority,box,seem,student.,—,shocking,claims,immortal,jellyfish,surface,internet."
F130,Immortal Jellyfish Confirmed by Sources,FAKE,"professor,visit,include,enough,style,teach.,evidence,share,need,help,not.,—,shocking,claims,immortal,jellyfish,surface,internet."
R085,New Report on Economic Growth,REAL,"half,recent,another.,radio,character,gun,name,free,act.,toward,son,see,need,see.,experts,discuss,ongoing,developments,economic,growth."
R054,New Report on Budget Report,REAL,"door,game.,decade,wait,price,house,film,hand,morning.,industry,challenge,worry,call,later,nation,around.,experts,discuss,ongoing,developments,budget,report."
R047,New Report on Technology Breakthrough,REAL,"teach,manager,challenge,morning,information,discussion.,partner,meet,event,million,accept.,relate,talk,include,vote,cultural,rock,able.,experts,discuss,ongoing,developments,technology,breakthrough."
R199,New Report on Economic Growth,REAL,"similar,create,seem,return.,career,citizen,toward,best,gun.,experts,discuss,ongoing,developments,economic,growth."
F062,Miracle Drug Confirmed by Sources,FAKE,"group,pattern,indeed,agree,fly,left,activity.,tonight,step,foreign,agency,term,subject.,—,shocking,claims,miracle,drug,surface,internet."
R244,New Report on Technology Breakthrough,REAL,"human,lead,establish,difficult,thought,size.,order,enough,join,range.,experts,discuss,ongoing,developments,technology,breakthrough."
R107,New Report on Election,REAL,"vote,less,raise,suffer,culture.,instead,white,mention,keep,another,at.,experts,discuss,ongoing,developments,election."
F148,Aliens Confirmed by Sources,FAKE,"increase,smile,class,cultural,condition,generation,south,vote.,national,outside,ago,spend,bad,green.,theory,relate,cut,various,purpose,pm.,—,shocking,claims,aliens,surface,internet."
F023,Mind Control Confirmed by Sources,FAKE,"work,watch,box,year.,board,thank,share,international,eight,lay,news.,piece,score,sense,continue,mr,center,before.,—,shocking,claims,mind,control,surface,internet."
R075,New Report on Budget Report,REAL,"personal,take,source.,little,street,position,feeling.,experts,discuss,ongoing,developments,budget,report."
R220,New Report on Public Health,REAL,"skill,hair,sit,strong,source,number,yet.,little,try,report,authority,people.,experts,discuss,ongoing,developments,public,health."
R099,New Report on Economic Growth,REAL,"theory,cup,art,seem,art,building.,ball,hit,number,back,term,foreign,american.,experts,discuss,ongoing,developments,economic,growth."
F066,Flat Earth Confirmed by Sources,FAKE,"grow,clearly,easy,sort,explain,world,consumer.,benefit,head,learn,least,perform,student.,consider,agree,ago,appear,laugh,whatever,personal.,—,shocking,claims,flat,earth,surface,internet."
F060,Flat Earth Confirmed by Sources,FAKE,"miss,open,conference,threat,former,part.,chance,enough,college,oil,remain.,—,shocking,claims,flat,earth,surface,internet."
F022,Government Cover-Up Confirmed by Sources,FAKE,"huge,source,theory,around.,identify,six,force,election,federal,cause.,personal,move,peace,box.,today,decide,enter,consider,respond.,—,shocking,claims,government,cover-up,surface,internet."
F127,Mind Control Confirmed by Sources,FAKE,"home,open,particularly.,election,two,sit,alone,tv,section,none.,need,keep,reveal.,—,shocking,claims,mind,control,surface,internet."
R212,New Report on Education,REAL,"right,expect,room.,open,economic,vote,wish.,western,night,year,return,month.,experts,discuss,ongoing,developments,education."
F119,Mind Control Confirmed by Sources,FAKE,"hit.,watch,environment,road,actually.,—,shocking,claims,mind,control,surface,internet."
F103,Hoax Confirmed by Sources,FAKE,"industry,near,job,question,reality.,without,unit,natural.,continue,student,property,clearly,game,hundred.,language,skin,attack.,—,shocking,claims,hoax,surface,internet."
F191,Mind Control Confirmed by Sources,FAKE,"always,mention,ready,green,rock,majority.,either,write,senior,drug,theory,maybe.,—,shocking,claims,mind,control,surface,internet."
F002,Mind Control Confirmed by Sources,FAKE,"accept,catch,movement,star.,speech,friend,show,action,fly,site.,model,attack,learn.,—,shocking,claims,mind,control,surface,internet."
R155,New Report on Election,REAL,"watch,least,eye,window,without.,reach,compare,sense,reach,serve.,power,contain,wide,standard.,enter,dream,third,painting,fear.,experts,discuss,ongoing,developments,election."
R006,New Report on Technology Breakthrough,REAL,"development,majority,say,phone,indicate.,create,quite,table,dinner,true,high.,experts,discuss,ongoing,developments,technology,breakthrough."
F086,Government Cover-Up Confirmed by Sources,FAKE,"trouble,board,somebody.,level,management,share,ready,pm,sea.,—,shocking,claims,government,cover-up,surface,internet."
R168,New Report on Election,REAL,"send,population,cup,part.,race,speak,difference.,experts,discuss,ongoing,developments,election."
R077,New Report on Public Health,REAL,"citizen,moment,industry,throw,beautiful,gun,meeting.,leave,never,white,agency,north,class,ask.,experts,discuss,ongoing,developments,public,health."
F209,Hoax Confirmed by Sources,FAKE,"boy,charge,account,peace,until.,however,home,reason,husband,skin,news,sure,safe.,federal,science,close,authority,break,must,foreign,administration.,—,shocking,claims,hoax,surface,internet."
R236,New Report on Public Health,REAL,"expect,difference,structure,collection.,experts,discuss,ongoing,developments,public,health."
F186,Aliens Confirmed by Sources,FAKE,"course,method.,behavior,try,cold,standard.,—,shocking,claims,aliens,surface,internet."
R243,New Report on Public Health,REAL,"mission,unit,southern,maintain.,experts,discuss,ongoing,developments,public,health."
F094,Immortal Jellyfish Confirmed by Sources,FAKE,"face,section,hold,case,player,business,director.,hot,nation,least,major.,hear,rule,actually,meet,tell,rest,hair.,—,shocking,claims,immortal,jellyfish,surface,internet."
R032,New Report on Economic Growth,REAL,"mother,executive,treat,compare,oil,affect.,ten,kid,lose,make,force,establish.,experts,discuss,ongoing,developments,economic,growth."
R033,New Report on Education,REAL,"thought,large.,show,center,fly.,hard,enough,trade,matter.,receive,commercial,grow,campaign,continue.,experts,discuss,ongoing,developments,education."
R045,New Report on Technology Breakthrough,REAL,"toward,sound,movement,guess,onto,mention.,worker,large,believe,democrat,customer,meeting,dream,include.,page,let,customer,professor.,experts,discuss,ongoing,developments,technology,breakthrough."
R116,New Report on Education,REAL,"determine,great,school,sport,sell,score,admit.,reach,sing,sit,few.,cold,direction,financial,set.,experts,discuss,ongoing,developments,education."
F056,Celebrity Scandal Confirmed by Sources,FAKE,"crime,stuff,listen,television,certainly,every.,base,war,specific,evidence,age.,summer,win,thought,beautiful,onto,really,film,understand.,—,shocking,claims,celebrity,scandal,surface,internet."
R043,New Report on Policy,REAL,"actually,movie,still.,experts,discuss,ongoing,developments,policy."
R145,New Report on Economic Growth,REAL,"main,friend,term,front,whether.,fill,cover,make.,security,give,run,agency,wall,religious.,experts,discuss,ongoing,developments,economic,growth."
F200,Secret Cure Confirmed by Sources,FAKE,"huge,top,success,appear.,director,begin,despite,industry.,—,shocking,claims,secret,cure,surface,internet."
F034,Celebrity Scandal Confirmed by Sources,FAKE,"age,save,book,risk.,share,fall,specific,prevent.,though,stock,language,campaign,two.,—,shocking,claims,celebrity,scandal,surface,internet."
F149,Secret Cure Confirmed by Sources,FAKE,"performance,follow,human,blood.,quite,pressure,stock,reality,technology.,—,shocking,claims,secret,cure,surface,internet."
F051,Secret Cure Confirmed by Sources,FAKE,"feeling,eight,ever.,consumer,base,world,begin.,rate,officer,tonight,scientist.,—,shocking,claims,secret,cure,surface,internet."
F089,Flat Earth Confirmed by Sources,FAKE,"difficult,although,speak,show,kind.,enter,book,run,else,perform,nature.,—,shocking,claims,flat,earth,surface,internet."
F135,Flat Earth Confirmed by Sources,FAKE,"listen,hour,production,wide,hold,result.,smile,executive,stop,understand,education,yard.,phone,use,air,week,identify,reveal,top,nice.,—,shocking,claims,flat,earth,surface,internet."
F088,Government Cover-Up Confirmed by Sources,FAKE,"provide,instead,father,free,yet,chair,week,energy.,government,lead,appear,air.,—,shocking,claims,government,cover-up,surface,internet."
R010,New Report on Election,REAL,"today,buy,forward,board,father,language,behind.,son,activity,never,television,along.,experts,discuss,ongoing,developments,election."
R211,New Report on Policy,REAL,"card,newspaper,nature,six,popular,wonder.,range,compare,life,modern,upon,as.,may,activity,ten,election,wind,face,authority.,experts,discuss,ongoing,developments,policy."
F204,Miracle Drug Confirmed by Sources,FAKE,"girl,find,guy,difference,assume,watch.,serve,consider,eye,many,southern,beat,body.,wait,glass,man,player,maintain,market,hotel.,—,shocking,claims,miracle,drug,surface,internet."
F168,Miracle Drug Confirmed by Sources,FAKE,"common,set,else,anything,allow,give.,seek,sense,positive.,—,shocking,claims,miracle,drug,surface,internet."
R011,New Report on Public Health,REAL,"choice,dream,professor,the.,experts,discuss,ongoing,developments,public,health."
R232,New Report on Climate Change,REAL,"explain,wrong,leg.,drive,market,list,wind.,argue,strong,example,article,politics,north.,experts,discuss,ongoing,developments,climate,change."
R042,New Report on Public Health,REAL,"professional,room,free,color,yes,every,add.,protect,else.,tonight,alone,home,will.,experts,discuss,ongoing,developments,public,health."
F182,Hoax Confirmed by Sources,FAKE,"tell,senior,also.,indeed,feeling,tonight,create,subject,pressure,loss,doctor.,choose,father,knowledge,offer.,—,shocking,claims,hoax,surface,internet."
F036,Miracle Drug Confirmed by Sources,FAKE,"upon,movie,plant,senior,next,bed.,alone,prepare,seem,bar,performance,begin.,—,shocking,claims,miracle,drug,surface,internet."
F068,Secret Cure Confirmed by Sources,FAKE,"question,clearly,collection,far,sea,eat,wish.,—,shocking,claims,secret,cure,surface,internet."
R015,New Report on Election,REAL,"field,soldier.,buy,leave,wonder,remember,compare,series.,experts,discuss,ongoing,developments,election."
R147,New Report on Climate Change,REAL,"physical,rich,garden,modern.,sure,indeed,factor,light,grow.,experts,discuss,ongoing,developments,climate,change."
F198,Government Cover-Up Confirmed by Sources,FAKE,"window,seven,physical,lead,news,use.,old,management,thought,within,enjoy,watch.,action,common,mention,marriage.,—,shocking,claims,government,cover-up,surface,internet."
R081,New Report on Climate Change,REAL,"character,doctor,officer,final,share,instead.,deep,course,term,development,station,soldier,example,week.,experts,discuss,ongoing,developments,climate,change."
F050,Aliens Confirmed by Sources,FAKE,"argue,particular,better.,official,sing,claim,lawyer,local,campaign.,easy,apply,better.,—,shocking,claims,aliens,surface,internet."
F162,Celebrity Scandal Confirmed by Sources,FAKE,"example,debate,personal,thank,year,ability,yes.,fly,others,fly,step.,training,cost,less,card.,—,shocking,claims,celebrity,scandal,surface,internet."
R028,New Report on Technology Breakthrough,REAL,"risk,live,way.,family,type,safe,including,development.,experts,discuss,ongoing,developments,technology,breakthrough."
R195,New Report on Budget Report,REAL,"answer,region,standard,time.,foreign,every,media,tend,sell,evening.,painting,piece,president,green,pick.,experts,discuss,ongoing,developments,budget,report."
F116,Aliens Confirmed by Sources,FAKE,"line,early,almost,community,computer,director.,heavy,describe,sit,similar,across,writer,despite,into.,describe,good,production,become,partner.,—,shocking,claims,aliens,surface,internet."
R018,New Report on Research,REAL,"media,interview,order,exist,hospital,arm,network,card.,seem,result,season,must,sell,later,recently.,order,democratic,whether,identify,young,early,budget,season.,experts,discuss,ongoing,developments,research."
F073,Immortal Jellyfish Confirmed by Sources,FAKE,"see,huge,production,agreement,politics,avoid.,realize,machine,respond,ball,ball,wall.,—,shocking,claims,immortal,jellyfish,surface,internet."
F059,Miracle Drug Confirmed by Sources,FAKE,"let,central,land,hope,modern,relate,leg.,occur,create,woman,develop.,save,movement,represent,budget,push,doctor.,—,shocking,claims,miracle,drug,surface,internet."
R078,New Report on Budget Report,REAL,"beyond,grow,must.,usually,billion,tough,news,animal,through.,heavy,hard,financial,industry,idea,simply.,difference,theory,grow,guess,everybody,unit.,experts,discuss,ongoing,developments,budget,report."
F216,Secret Cure Confirmed by Sources,FAKE,"sea,look,sure.,—,shocking,claims,secret,cure,surface,internet."
F206,Celebrity Scandal Confirmed by Sources,FAKE,"prepare,approach.,energy,hair.,—,shocking,claims,celebrity,scandal,surface,internet."
R036,New Report on Research,REAL,"natural,gas,enjoy,day,for.,member,reveal,student,leader,describe,security.,experts,discuss,ongoing,developments,research."
F104,Aliens Confirmed by Sources,FAKE,"responsibility,size.,financial,thought,six,remain,professor.,relate,ball,room,special,place.,woman,ten,seat,stand,past,actually.,—,shocking,claims,aliens,surface,internet."
F000,Hoax Confirmed by Sources,FAKE,"organization,involve,guy,push,perhaps,check.,everything,pull,improve,must,physical,nice,clear.,marriage,others,family,choose,strategy,reach.,—,shocking,claims,hoax,surface,internet."
R136,New Report on Education,REAL,"serve,course,woman,hold,leg.,experts,discuss,ongoing,developments,education."
F019,Immortal Jellyfish Confirmed by Sources,FAKE,"eat,range,either,matter,quite,small.,material,station,either.,—,shocking,claims,immortal,jellyfish,surface,internet."
R012,New Report on Technology Breakthrough,REAL,"dinner,likely,hospital,admit,computer,charge,structure.,yeah,even,score,break,goal.,boy,building,difference,data,tv,which.,experts,discuss,ongoing,developments,technology,breakthrough."
R052,New Report on Education,REAL,"like,star,west,long,deep,company,only.,president,smile,eye,former,shoulder.,experts,discuss,ongoing,developments,education."
R123,New Report on Climate Change,REAL,"on.,store,officer,discussion,edge,mouth,visit.,experts,discuss,ongoing,developments,climate,change."
F040,Government Cover-Up Confirmed by Sources,FAKE,"skill,decade,care,final.,hospital,economy,people,authority,anyone,goal,measure.,—,shocking,claims,government,cover-up,surface,internet."
R160,New Report on Climate Change,REAL,"attack,general,rule,pressure.,network,ten,water,parent,key,sort,shoulder,indicate.,house,improve,country,read,nearly,laugh.,experts,discuss,ongoing,developments,climate,change."
F067,Immortal Jellyfish Confirmed by Sources,FAKE,"final,campaign,turn,single,player,resource.,type,animal,little,rule.,financial,break,might.,—,shocking,claims,immortal,jellyfish,surface,internet."
R069,New Report on Research,REAL,"laugh,garden,fast.,floor,often,society,economy,size.,experts,discuss,ongoing,developments,research."
F160,Mind Control Confirmed by Sources,FAKE,"strategy,admit,common,color,place,adult.,writer,half,real.,—,shocking,claims,mind,control,surface,internet."
F053,Hoax Confirmed by Sources,FAKE,"couple,institution,music,last,six,write.,recently,fact,inside,technology,option,feel,participant,close.,car,happen,ability,item,expect.,—,shocking,claims,hoax,surface,internet."
R074,New Report on Education,REAL,"issue,nation,home,recognize.,blood,sell,since,reflect.,consumer,physical,magazine,station,cultural,finally.,experts,discuss,ongoing,developments,education."
R007,New Report on Election,REAL,"picture,hit,avoid,miss.,southern,painting,special,office,follow.,sort,performance,something,quite,president,particular.,experts,discuss,ongoing,developments,election."
R119,New Report on Climate Change,REAL,"fly,role,blood,investment,deal,full.,suggest,card,attorney,similar,economy.,experts,discuss,ongoing,developments,climate,change."
R087,New Report on Budget Report,REAL,"hour,author,unit.,organization,full,politics,continue,trip.,student,former,lead,health,social,notice.,experts,discuss,ongoing,developments,budget,report."
F145,Miracle Drug Confirmed by Sources,FAKE,"art,drug,live,ago,leader.,bit,trial,mother,else,audience.,position,world,specific,civil,owner,despite.,—,shocking,claims,miracle,drug,surface,internet."
R065,New Report on Budget Report,REAL,"three,physical,yeah,call,interview,beat.,experts,discuss,ongoing,developments,budget,report."
R208,New Report on Budget Report,REAL,"report,interview.,apply,society,court.,indeed,media,history,two,recently.,important,laugh,walk.,experts,discuss,ongoing,developments,budget,report."
R048,New Report on Budget Report,REAL,"produce,center,say,author,get.,grow,individual,resource.,experts,discuss,ongoing,developments,budget,report."
F076,Aliens Confirmed by Sources,FAKE,"somebody,source,future,lead.,quite,big,rule,relate,media.,take,laugh,everything,system.,—,shocking,claims,aliens,surface,internet."
R019,New Report on Policy,REAL,"civil,find,research,among,realize,collection,pass.,interesting,short,product,across.,experts,discuss,ongoing,developments,policy."
